County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,Dominant_Aquifer,2022
ADAIR,1.5299999999999998,1.29,0.8600000000000001,1.2599999999999998,0.93,,,,,,1.69,,2.16,2.06,1.1400000000000001,0.9299999999999999,,,,,,Alluvium,
ADAMS,1.8400000000000003,2.0,2.6199999999999997,2.87,2.2399999999999998,,,,,,,,,,,,,,,,,Alluvium,
ALAMAKEE,2.62,2.05,2.69,1.7550000000000001,2.32,,,,,,3.22,1.72,2.96,1.5950000000000002,1.3299999999999998,1.2128571428571426,,3.408,,3.3499999999999996,3.1,Cambrian,
AUDOBON,0.61,0.47000000000000003,1.418235294117647,0.49000000000000005,0.37,,,,,,0.56,,,2.02,0.6157142857142858,,0.30000000000000004,0.24,,,4.819999999999999,Alluvium,
Benton,6.359999999999999,9.831764705882351,5.3,3.8650000000000007,3.0900000000000007,,,,,,5.430000000000001,12.65,,6.1085,5.83,5.318,4.88,4.9719999999999995,,4.05,2.105,Buried Sand Gravel,
Black Hawk,6.359999999999999,9.831764705882351,5.3,3.8650000000000007,3.0900000000000007,,,,,,5.430000000000001,12.65,,6.1085,5.83,5.318,4.88,4.9719999999999995,,4.05,2.105,Buried Sand Gravel,
Boone,1.64,4.62,4.2275,5.475,4.74,,,,,,0.8100000000000002,,7.769999999999999,4.89,4.75,1.3666666666666665,1.1700000000000002,3.05,,0.7000000000000001,1.3,Alluvium,
Bremer,,6.769999999999999,,,,,,,,,,9.65,,6.875,6.85,7.203333333333333,7.496666666666667,17.0825,6.85,6.85,6.8,Silurian,
Buchanan,3.0,6.455,3.8899999999999997,2.375,3.1999999999999997,17.978846153846153,19.497272727272726,39.3275,19.571242424242424,,3.6,1.535,3.6700000000000004,1.1675,1.5625,2.9277777777777776,3.57,1.1842857142857142,,1.815,1.81,Cambrian-Ordovician,
Buena Vista,5.3066666666666675,5.055,3.2699999999999996,5.16,6.493333333333334,,,,,,4.07,1.9,,3.9299999999999997,5.577777777777778,0.19,,0.64,,2.92,1.1600000000000001,Alluvium,
Butler,0.30000000000000004,1.35,0.15,0.28,0.26,,,,,,0.29000000000000004,3.500000000000001,,,12.702222222222222,0.38,3.1183333333333336,0.396,,0.15000000000000002,0.2,Devonian,
CEDAR,1.8,1.4507692307692308,0.74,2.0700000000000003,1.43,,,,,,2.62,,1.9099999999999997,1.31,1.04,0.94,1.0,,1.03,1.0,0.85,Silurian,
CHEROKEE,1.3642857142857143,1.34,0.49,1.08,1.625,,,,,,1.175,1.18,,,0.635,0.71,,0.65,,0.5366666666666666,,Dakota,
CHICKASAW,,9.530000000000001,,1.04,,,,,,,,4.34,,,2.0,,2.2,0.9899999999999999,,,,Cambrian-Ordovician,
CLAY,,,0.9600000000000002,,2.605,,,,,,,,,,,,,,,,,Alluvium,
CLAYTON,10.795,8.955416666666668,11.966666666666667,7.4731250000000005,12.130833333333333,14.797500000000001,13.1825,9.922857142857143,11.505833333333333,11.192499999999999,9.888333333333332,10.283076923076923,10.980526315789474,10.960833333333333,10.1640625,0.15000000000000002,,0.134,0.15000000000000002,0.15000000000000002,0.22,Cambrian,
CLINTON,3.925,2.1975000000000002,3.2750000000000004,4.375,4.28,,,,,,4.35,1.6300000000000001,6.730000000000001,6.909999999999999,2.4899999999999998,2.250909090909091,0.04,3.2172727272727273,,5.6499999999999995,,Alluvium,
CRAWFORD,5.35,5.24,3.065,5.780000000000001,3.9400000000000004,,,,,,5.140909090909091,3.8,,6.489999999999999,8.43,4.903333333333333,0.6900000000000001,,,,0.56,Alluvium,
Calhoun,2.755,,,,,,,,,,,4.975,,,3.9,4.5,,4.419999999999999,,,,Buried Sand Gravel,
Carroll,2.9374999999999996,3.1949999999999994,3.4377777777777774,10.77,2.3775000000000004,,,,,,2.0700000000000003,8.092307692307692,2.31,6.132666666666666,5.2,7.0200000000000005,5.155,4.65,,1.9849999999999999,1.58,Alluvium,
Cass,0.5266666666666667,0.29,0.16,0.265,0.7321428571428571,,,,,,0.3,1.7100000000000002,,,0.87,0.7642857142857142,,6.18,,2.5094117647058827,1.96,Alluvium,
Cerro Gordo,,1.09,,,,,,,,,,1.23,,,0.53,0.61,,0.59,,,,Devonian,
DELAWARE,9.2,9.190000000000001,10.100000000000001,6.4,9.610000000000001,,,,,,8.34,,,9.0625,9.15,11.306666666666667,58.44,9.222,,9.75,9.299999999999999,Cambrian-Ordovician,
DES MOINES,1.8799999999999997,,,2.6,,,,,,,,,,,,,,,,,0.42000000000000004,Alluvium,
DICKINSON,,,1.28,,,,,,,,2.8151111111111113,2.496888888888889,,,,,,,,,,Buried Sand Gravel,
DUBUQUE,1.28,2.9074999999999998,0.8766666666666666,1.2899999999999998,1.325,,,,,,2.495,1.31,1.9460000000000002,1.98,0.8,1.95,,,,1.36,0.83,Alluvium,
Dallas,2.7475,1.2199999999999998,0.8996153846153846,1.1300000000000001,3.775,,,,,,0.9349999999999999,3.1660000000000004,2.125,2.95,1.3527777777777776,1.6016666666666666,2.2800000000000002,1.0833333333333333,,1.6133333333333333,0.7966666666666667,Alluvium,
EMMET,2.02,2.23,0.76,2.13,2.355,,,,,,2.28,,,,,,1.2,,,0.89,,Buried Sand Gravel,
FAYETTE,5.2,6.1000000000000005,4.79,4.680000000000001,2.7,,,,,,6.05,5.0,,6.555,4.6499999999999995,,5.599999999999999,3.4219999999999997,,4.85,,Buried Sand Gravel,
